,all,foreign,air,refusals,out,in
2023-03-01,37763.0,22213.0,6211.0,17.0,20164.0,17599.0
2023-03-02,38530.0,22412.0,6671.0,21.0,19941.0,18589.0
2023-03-03,41379.0,24427.0,6148.0,36.0,21326.0,20053.0
2023-03-04,43857.0,23677.0,6545.0,30.0,22377.0,21480.0
2023-03-05,45340.0,25601.0,7660.0,34.0,23621.0,21719.0
2023-03-06,35202.0,20754.0,5861.0,23.0,,17725.0
2023-03-07,39087.0,21633.0,5943.0,48.0,20620.0,18467.0
2023-03-08,43126.0,21953.0,6546.0,25.0,23627.0,19499.0
2023-03-09,38321.0,21827.0,6533.0,29.0,19551.0,18770.0
2023-03-10,41075.0,23317.0,4666.0,27.0,,21067.0
2023-03-11,45262.0,23670.0,6630.0,40.0,,23822.0
2023-03-12,48998.0,26649.0,7536.0,44.0,,26041.0
2023-03-13,36125.0,20908.0,5501.0,46.0,,18966.0
2023-03-14,35537.0,19653.0,4921.0,48.0,,18001.0
2023-03-15,36219.0,20456.0,4109.0,66.0,19368.0,16851.0
2023-03-16,39103.0,22546.0,5318.0,51.0,19776.0,19327.0
2023-03-17,41108.0,,4722.0,32.0,,20658.0
2023-03-18,42291.0,,5004.0,21.0,,21428.0
2023-03-19,45339.0,,5087.0,41.0,,22839.0
2023-03-20,33572.0,,4125.0,22.0,,18045.0
2023-03-21,37894.0,,4511.0,23.0,,19256.0
2023-03-22,40445.0,,4914.0,34.0,20955.0,19490.0
2023-03-23,39080.0,,5129.0,33.0,19633.0,19447.0
2023-03-24,39966.0,,4530.0,26.0,20205.0,19761.0
2023-03-25,45000.0,,5425.0,31.0,,22929.0
2023-03-26,48060.0,,5639.0,27.0,,24447.0
2023-03-27,35541.0,,4203.0,35.0,,18442.0
2023-03-28,35429.0,,4011.0,39.0,,17973.0
2023-03-29,36577.0,,5066.0,28.0,18808.0,17769.0
2023-03-30,42039.0,,6034.0,24.0,21190.0,20849.0
2023-03-31,41653.0,,4548.0,52.0,20863.0,20790.0
2023-04-01,47572.0,,5264.0,35.0,,24715.0
2023-04-02,49113.0,,4923.0,28.0,,26674.0
2023-04-03,38139.0,,4791.0,35.0,,21428.0
2023-04-04,38750.0,,4916.0,46.0,,20547.0
2023-04-05,36535.0,,4915.0,46.0,,18563.0
2023-04-06,37147.0,,5973.0,43.0,,19820.0
2023-04-07,47575.0,,6361.0,26.0,,25566.0
2023-04-08,53072.0,,6422.0,33.0,,30718.0
2023-04-09,49120.0,,5544.0,32.0,,26781.0
2023-04-10,41137.0,,5532.0,40.0,,23364.0
2023-04-11,44027.0,24126.0,5757.0,31.0,,23937.0
2023-04-12,47341.0,26345.0,6080.0,45.0,,24967.0
2023-04-13,48998.0,28343.0,5866.0,29.0,,28716.0
2023-04-14,55000.0,34145.0,7325.0,22.0,,33833.0
2023-04-15,46751.0,28660.0,8082.0,18.0,,27829.0
2023-04-16,,,,,,
2023-04-17,,,,,,
2023-04-18,50328.0,30172.0,5780.0,42.0,29634.0,20694.0
2023-04-19,50371.0,28127.0,6107.0,39.0,27725.0,22646.0
2023-04-20,50342.0,28090.0,6290.0,36.0,25469.0,24873.0
2023-04-21,52781.0,30501.0,5320.0,56.0,,27375.0
2023-04-22,56665.0,31491.0,6326.0,22.0,,30920.0
2023-04-23,48114.0,28632.0,5240.0,27.0,24193.0,23921.0
2023-04-24,44269.0,26691.0,5704.0,30.0,22429.0,21840.0
2023-04-25,43617.0,25834.0,5626.0,28.0,24289.0,19328.0
